feature_id	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Colon_Transverse_Mixed_Cell	Colon_Transverse_Mucosa	Colon_Transverse_Muscularis	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Liver_Hepatocyte	Liver_Mixed_Cell	Liver_Portal_Tract	Lung	Minor_Salivary_Gland	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pancreas_Acini	Pancreas_Islets	Pancreas_Mixed_Cell	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Small_Intestine_Terminal_Ileum_Mixed_Cell	Spleen	Stomach	Stomach_Mixed_Cell	Stomach_Mucosa	Stomach_Muscularis	Testis	Thyroid	Uterus	Vagina	Whole_Blood
expr::APC	9.186910	6.729530	5.603020	8.548880	8.241010	10.874300	7.524950	36.520500	38.058400	17.076700	23.795300	24.909200	37.052200	37.978300	31.015500	14.156300	18.738800	13.181600	10.658200	19.184800	6.947310	12.689900	9.397910	6.779680	8.138800	9.018610	7.047810	6.196670	4.585800	4.555930	8.545760	7.135360	9.142010	7.218870	3.420680	2.693150	2.480580	4.120370	2.621020	1.935630	2.422440	6.337280	7.811350	5.417210	6.339770	9.172000	5.925060	2.507290	1.739800	5.901180	1.889890	6.938590	5.812170	6.255120	6.977010	9.996060	7.655810	7.303580	7.907120	3.760780	3.377300	1.548970	4.933390	5.974850	6.545030	8.609480	7.494820	1.988620
expr::AR	10.424800	4.803500	1.246270	12.933000	7.716910	10.191200	7.705740	0.261950	0.277518	0.542177	0.168307	0.276347	0.520061	0.616866	0.302663	1.076930	0.475394	0.500430	0.691687	0.925209	11.669700	14.907500	0.020993	30.647300	47.586700	3.204830	1.388560	0.651231	0.106294	2.067050	3.713260	1.413220	2.148580	25.368200	3.209800	3.136390	1.753470	1.711580	15.051200	13.490600	12.773900	6.900620	2.688250	1.808710	4.160190	5.620260	17.245400	0.478614	0.309818	0.804080	0.459347	2.947110	22.120800	5.118180	3.941400	1.331190	0.874828	0.920166	0.879594	1.512620	1.295040	0.821513	2.346330	7.168630	4.561540	26.284600	22.579900	0.026979
expr::ARAF	56.760200	53.004100	51.886300	67.827400	66.155000	69.535300	59.232700	10.179400	9.581870	11.683700	25.864100	30.593400	12.121700	10.127700	8.961850	10.226400	11.557200	10.872300	16.517400	11.419300	56.891900	44.336100	55.276900	54.920700	73.137500	54.606600	53.208200	45.065900	51.557600	47.043200	56.685300	39.158700	54.642400	69.347300	30.140900	30.985300	37.243600	64.081800	35.435500	41.208800	37.178500	71.346600	71.785400	55.708000	67.669500	67.950600	72.877900	29.409900	31.291800	33.082100	27.517400	45.839300	75.528300	50.267400	52.190800	57.294900	80.049300	54.191500	78.425500	53.732900	50.787000	47.869900	50.518700	23.720100	77.245100	75.450600	52.211000	66.830600
expr::ARID1A	26.285500	21.929000	21.107900	29.050200	26.555900	31.889900	31.634800	9.120690	10.266300	10.661000	28.712000	32.709400	13.812300	12.274800	8.326470	10.139700	11.674000	8.636800	12.121400	9.206870	26.116600	25.270100	54.700300	29.337000	34.593800	27.411800	22.916600	17.452600	14.377500	19.772600	24.207300	28.503300	23.641100	36.324100	10.942400	9.260260	8.932640	18.139400	10.102100	8.836550	8.020920	24.153600	31.402900	26.545400	14.077900	40.148700	36.904500	10.186000	8.442700	12.204700	7.910060	24.135200	26.578600	29.445500	30.561600	27.887000	45.287200	25.188000	40.123700	22.172400	17.875600	13.538900	17.939400	34.930200	43.377400	39.001800	31.193400	12.839000
expr::ARID1B	8.727250	7.192810	4.951070	10.096300	9.410810	11.263600	10.318800	2.613320	3.191340	3.179800	12.216800	10.406900	3.839290	4.238140	2.868270	2.863760	3.634290	2.676400	3.769290	2.486600	8.789610	7.369050	10.820400	10.624700	12.649800	8.546110	5.732220	3.862460	2.766360	4.910280	7.879510	6.651440	7.576430	11.297100	3.766020	2.533760	2.922320	7.002390	1.816030	1.259680	1.495540	5.084460	8.684770	7.700080	5.945070	10.180500	15.229700	3.008280	2.072290	4.539590	2.219690	7.585410	8.794540	11.782600	12.707200	7.229940	10.344400	6.717050	7.867440	4.616890	3.907040	2.690440	4.794840	5.034000	12.852100	13.099400	10.586800	1.793130
expr::ARID2	8.744070	6.767460	5.721350	10.384800	9.153090	10.472200	9.813120	2.082160	2.016500	2.439190	10.746100	10.277400	2.553600	2.400060	2.235940	2.701700	2.323040	2.028050	3.885090	2.472750	8.765090	8.357130	11.252100	10.132700	12.187900	9.135630	6.877080	5.917740	4.714300	7.288440	9.314450	8.712530	9.095110	11.220900	3.784570	2.405960	2.945890	6.480930	2.302500	1.812630	1.851530	8.912350	10.252000	8.111440	3.738480	11.425300	12.769200	3.397980	2.906570	4.929070	2.690100	7.334240	9.529150	12.026300	12.435100	8.138190	10.286500	6.981740	7.921230	5.853890	5.664080	3.940350	6.253690	26.016400	11.406300	12.994100	11.119700	2.929870
expr::ASPSCR1	13.685000	11.561800	12.511700	16.384800	14.683800	14.829500	14.711400	8.974610	10.117600	10.119600	24.543800	26.137900	12.011600	12.310000	9.561920	11.064200	10.014100	9.364020	12.732300	9.960600	14.209500	11.314800	13.840300	14.206000	18.693000	13.466100	11.387800	10.633600	9.710570	13.885500	12.832800	10.374100	12.643800	15.999000	7.395380	6.834330	11.729400	18.930300	16.793300	14.759800	13.938800	15.781700	18.371100	12.865500	14.024800	18.687000	15.076700	6.255880	7.684650	18.570800	6.978190	30.474500	20.164200	15.549500	16.052500	13.679700	20.745000	15.395600	17.950800	13.245000	15.649200	14.287200	14.282400	33.794300	29.315900	16.654500	13.580100	5.471800
expr::ASXL2	7.452410	6.083140	6.136710	7.070880	7.344630	8.526390	7.775960	2.112620	2.366440	2.651470	4.782330	5.573390	2.815090	2.726820	2.194910	2.921930	3.070170	2.113250	4.043460	2.911940	6.454450	13.034100	10.804200	7.277950	7.731430	7.353520	5.759600	4.975260	3.779300	4.635240	6.786130	7.077060	7.073420	7.246090	3.013910	2.342300	2.939000	4.501780	1.985240	2.258790	2.001450	6.352070	7.551550	6.632250	4.886120	8.386820	5.914650	2.279910	1.494370	3.141660	1.668710	6.894910	5.527090	6.351500	6.688320	6.358630	7.361380	5.198110	6.776390	4.249810	3.714320	2.268900	4.754700	15.040400	7.869700	8.019090	7.720660	2.862790
expr::ATF1	18.422100	16.078000	16.062800	17.654400	17.122700	19.278400	14.104100	3.224390	3.221710	3.539630	16.002700	16.390700	4.046870	3.809700	3.112750	4.566070	3.715120	2.648040	5.021590	3.399790	17.199900	27.539600	24.914300	16.229500	19.809200	14.136300	12.596100	10.315800	8.957370	7.324450	12.011800	11.504000	11.291500	17.076300	6.324840	4.495830	7.001010	9.522900	6.129160	3.878300	5.686030	13.637500	15.930700	13.809700	15.826300	19.691600	23.463200	4.224630	3.068740	7.694290	3.413990	14.009200	14.059200	11.736100	11.729600	13.234000	12.163200	9.725420	13.507300	9.236510	7.908170	5.291940	9.644790	9.135090	21.541500	21.261100	18.597900	4.826750
expr::ATM	6.940910	6.397420	6.786110	7.691410	8.177860	6.956250	8.521640	2.361650	2.115820	3.038710	12.011000	12.186500	2.967760	2.846740	3.072300	3.840200	3.028630	2.581750	7.720820	3.870380	6.266070	15.210700	21.167500	9.494640	12.407100	7.374230	5.660660	3.218820	3.012750	5.483020	6.825650	3.422200	6.339490	10.626400	3.806710	2.097130	2.327660	6.290600	2.811610	2.585080	2.285870	11.458500	9.182810	6.409380	2.030400	13.437400	18.070700	5.922570	5.631730	7.037230	4.590560	15.045700	6.972600	4.734140	4.683140	9.011080	34.504700	14.887200	17.907200	5.139890	4.409680	3.210600	4.730650	6.517500	9.850420	12.300800	8.553970	3.793410
expr::ATRX	15.157600	11.952800	10.591600	19.044900	16.457700	21.287100	13.454500	5.588600	6.828420	6.177100	20.925300	17.902500	7.599460	8.951940	5.314470	7.028660	7.089940	4.989720	6.779710	5.142060	13.811100	17.980900	22.883000	12.495800	18.655100	14.108500	8.913590	5.052300	3.374000	8.494980	14.773300	8.362830	12.912300	15.633300	6.012570	4.176180	3.875810	6.864120	2.682210	1.897330	2.115900	9.975010	14.458300	11.564800	7.761270	16.869800	22.091400	4.894780	3.312290	8.089530	3.458710	11.706500	12.017800	11.793700	12.046000	10.541700	11.752300	7.861040	10.973600	8.256850	6.642090	4.331220	8.851620	5.067280	15.627000	20.046900	13.537100	2.783750
expr::AXIN1	23.277000	20.847300	12.708600	28.604400	24.914400	31.131700	28.327000	10.132200	10.375500	11.541800	40.816100	40.779000	13.170600	12.417000	10.532400	10.535000	11.503900	10.947600	15.161400	10.470800	22.523200	22.891400	28.992700	30.413800	35.389100	28.909600	27.440300	31.154700	29.451600	20.837400	26.598800	24.186200	27.592800	30.584000	9.115260	6.639630	10.602700	22.480900	7.717400	7.029160	8.661790	30.677600	31.548800	19.709700	16.175900	32.947700	33.375400	9.362060	9.077840	12.517900	10.527300	26.046400	29.131400	34.012200	35.000200	26.553200	39.323300	33.126000	30.530400	18.120000	19.852500	15.222400	25.618100	30.464100	29.909100	35.161700	29.207000	29.826300
expr::AXL	83.950300	53.870400	20.792200	94.576700	100.248000	144.436000	57.585600	12.327200	14.734800	17.647000	5.270530	8.993790	16.852500	13.610600	8.188240	8.796030	16.531700	14.697400	9.633020	11.262200	51.063100	235.270000	0.347666	52.208300	71.538700	81.018700	40.449500	23.030600	7.518960	70.908900	76.039400	10.968400	70.225000	63.420100	23.899300	8.353600	6.574010	16.883400	2.362010	1.354240	2.600810	54.406400	47.238200	17.028900	6.559270	82.442000	43.783500	2.533620	1.124250	3.658840	2.772000	10.130700	36.739900	23.856100	34.848100	25.651100	12.261500	18.978300	38.438100	17.475400	24.494700	6.529300	79.972900	36.382800	37.374800	70.555500	47.622000	0.229375
expr::B2M	2891.630000	2514.960000	1579.160000	2193.260000	2343.580000	2009.330000	1407.980000	318.740000	251.057000	347.918000	216.746000	209.216000	220.255000	254.660000	354.681000	427.774000	280.367000	354.420000	926.534000	566.700000	2283.890000	1527.220000	5849.170000	1851.960000	1813.890000	1273.070000	1984.770000	3643.570000	2950.170000	1138.100000	1142.480000	831.122000	1055.360000	1727.320000	755.798000	468.625000	996.140000	1018.130000	900.477000	1053.090000	1529.580000	2702.460000	4514.310000	1379.250000	326.368000	1978.420000	1254.240000	277.700000	247.733000	1128.430000	369.653000	969.417000	1662.210000	1705.780000	1652.280000	3102.470000	3969.790000	3908.320000	4920.120000	1062.560000	1134.230000	748.229000	1060.440000	210.215000	2281.320000	2018.070000	1869.300000	4508.500000
expr::BCL10	10.239400	10.112400	6.106340	8.044490	7.670550	6.189080	7.224680	1.957180	2.124110	2.198740	4.667190	4.419790	2.461980	2.624360	2.132110	2.411180	2.458610	1.849780	2.853530	2.008470	9.294400	17.996100	16.568500	11.835700	7.350140	5.733900	11.362800	17.345600	16.288800	5.596580	5.354110	17.271700	5.040840	7.956360	2.819980	1.704570	4.320160	5.789730	2.761640	2.380060	2.597220	16.288300	10.645600	7.145260	1.379220	7.148180	6.552510	2.424030	1.982780	2.980070	2.303600	4.134190	6.618000	12.021900	10.934300	11.494300	10.601100	12.963800	10.628000	6.922690	7.212390	5.556630	5.794390	9.384700	7.472880	8.743570	15.687600	8.919840
expr::BCL2	10.143200	7.565500	0.581381	7.861550	8.380880	7.060820	6.765240	4.138730	3.770240	3.928040	1.727240	2.085400	3.521800	3.632550	2.744320	3.840300	4.523350	3.138490	3.830140	4.462780	10.832400	0.905710	47.496300	10.120700	16.292700	6.423880	5.029150	3.774530	3.191480	3.959150	7.664560	1.953190	7.700140	12.591000	1.849230	1.269330	2.532190	4.822290	0.433748	0.159631	0.224211	7.934500	4.474890	3.382750	3.953330	22.917400	14.680800	0.685054	0.406108	0.277575	0.598477	5.521770	7.352540	4.884550	4.912730	7.113320	21.153000	9.903090	11.130000	1.594560	2.019490	0.560342	6.344990	2.084760	20.458100	17.335800	9.662290	1.912160
expr::BCL2L11	10.466700	9.041000	7.117860	4.313320	7.053440	6.561170	8.092530	1.504410	1.356070	1.660290	1.155670	1.383670	1.544700	1.479770	1.457680	1.727300	1.308450	1.497000	2.252690	1.758910	11.430300	0.910498	17.450100	10.221400	10.608100	5.368980	8.639570	10.358100	13.951800	4.252830	6.506880	9.947330	5.166610	10.208100	3.468550	1.709640	5.757840	9.890480	5.590950	6.136020	5.812240	20.571700	12.800900	10.597000	6.114990	9.803620	15.278500	4.105850	4.663070	5.589530	4.884860	13.891000	11.717500	6.761620	6.938170	14.264400	38.208300	15.760900	19.703000	5.993520	6.533940	6.398210	5.050290	13.600500	26.159400	9.953350	11.630700	9.382920
expr::BCL6	229.052000	179.003000	58.572200	92.268900	118.402000	208.009000	123.987000	21.684900	22.935700	18.400900	125.207000	123.955000	26.673000	23.366600	16.703100	25.036300	19.125300	13.828300	20.652100	19.825300	208.726000	50.445500	0.519800	117.430000	115.031000	111.328000	43.149000	25.151400	9.593600	77.684400	136.250000	51.693200	142.904000	197.666000	53.344000	28.079100	29.389400	31.734500	36.114100	31.446300	24.988200	81.781600	184.004000	95.676400	305.652000	249.209000	103.532000	22.900400	21.060700	11.672000	20.970000	58.166900	86.527900	207.440000	222.263000	39.812000	44.345800	29.730900	186.717000	35.051800	45.674100	13.338200	161.223000	30.708200	87.010800	126.590000	131.824000	381.530000
expr::BCOR	10.041700	8.305310	9.794430	17.352300	13.579800	27.177700	12.403300	2.243550	2.174180	2.693530	6.244920	7.136040	3.819220	3.212560	2.482340	2.644490	2.422100	2.292250	5.307300	2.588100	10.148200	9.946320	12.659400	10.712700	14.742600	14.007800	8.750390	5.672420	3.431730	7.187870	10.589000	10.047900	10.155800	13.747600	6.170970	3.970790	4.953120	8.314970	3.893090	2.321500	2.896060	8.364670	13.374400	10.459600	8.701580	17.538700	19.136700	4.396780	2.499890	6.928380	3.562460	11.875000	11.833300	12.028700	13.574200	9.922290	11.031800	6.907650	9.364150	8.398080	6.776920	4.458010	6.791870	10.025200	16.937400	15.164400	11.412000	1.495680
expr::BCR	24.671800	22.352700	11.684000	28.777500	24.278100	30.144100	16.316000	25.857400	28.767600	42.822200	21.258800	25.471000	30.667200	28.788900	22.672100	18.466400	53.895900	36.781100	11.105900	18.314200	22.865600	10.592600	5.693620	20.239100	19.689100	14.995200	12.017800	11.660800	7.908650	10.003500	16.949100	24.399600	15.981800	20.176200	7.762050	5.442790	17.441200	26.121800	6.877600	7.782170	8.111280	13.964100	28.184800	18.393200	2.841530	36.589900	15.185100	5.607130	4.591860	12.533400	5.836630	32.646400	17.702200	23.669300	27.464800	12.579700	13.150600	11.003300	17.138500	15.962900	15.330800	12.067900	16.672300	19.140100	32.794200	19.858900	20.227700	10.047700
expr::BRAF	7.770110	6.384930	3.781770	8.252180	7.475680	9.873680	8.363690	2.889810	4.337760	4.007080	15.794300	12.780400	5.040340	7.106510	3.159480	3.900110	4.847730	3.131470	3.542650	2.755400	8.099410	6.304000	10.133700	8.011220	9.819050	7.825200	5.062590	3.761890	3.116380	5.520820	7.419530	4.739270	7.403930	10.198500	3.207360	2.056340	3.452760	6.709150	2.259280	2.006830	1.792790	7.345540	9.958150	5.476260	2.833350	10.662300	10.918000	2.582700	2.498090	4.998360	2.397860	9.381720	8.533860	8.548740	8.775510	5.667130	8.304590	5.298480	6.404330	4.773920	4.736360	3.265080	5.805570	12.699600	11.470200	11.137200	9.001050	3.968310
expr::BRCA2	0.573860	0.365195	0.168544	0.517502	0.409160	0.299863	0.228761	0.059539	0.058963	0.072530	0.108713	0.105830	0.072540	0.076974	0.054417	0.064308	0.069738	0.061047	0.089764	0.059858	0.453847	4.153630	11.959500	0.484679	0.394115	0.163730	0.462231	0.685995	0.749424	0.234639	0.155221	0.865100	0.147472	0.274788	0.083706	0.040680	0.063409	0.159016	0.149870	0.227689	0.177434	0.552310	0.799228	0.487916	0.041652	0.352981	0.353622	0.143019	0.140271	0.035236	0.116242	0.116871	0.269137	0.557391	0.599627	0.884852	2.374040	1.256390	1.298890	0.293789	0.306329	0.267721	0.125115	4.423450	0.249512	0.327224	0.532041	0.231405
expr::BRD4	26.164700	22.475500	18.514700	32.760200	29.535300	36.514400	26.957500	7.239620	9.505210	7.944420	24.613100	27.871000	14.297600	12.496500	7.447740	8.947460	8.967910	6.741130	8.861590	6.739350	26.307200	21.249200	27.682200	27.699300	36.123900	26.150700	18.685900	12.144200	11.448600	19.436300	23.878000	22.302500	22.893600	32.448700	12.073900	9.519390	11.221500	18.840500	11.744400	9.788430	8.251930	23.545400	32.711600	20.996600	23.465900	32.672100	36.352600	9.627970	7.593760	10.209600	7.698790	23.096000	28.050300	32.998500	33.936600	22.820000	34.963400	22.048200	30.419400	15.618300	12.643700	9.040840	17.726000	32.769200	31.013800	37.170000	31.229700	21.127500
expr::CARD11	1.377130	1.883010	1.729960	1.615880	1.555820	0.635399	9.579110	1.101590	1.131850	0.744479	0.955828	0.998615	1.106340	1.265480	1.194080	2.268500	0.655600	0.653521	3.568730	1.899710	1.483880	0.456752	72.322500	3.340490	2.777340	0.523794	2.393590	3.036040	3.345310	0.453090	0.494261	1.522090	0.552623	2.795890	0.365190	0.162564	0.996507	1.349250	1.117010	0.560374	0.701444	16.399000	9.150800	2.027750	0.119462	2.346610	1.649340	0.834664	0.530371	2.843140	0.851285	1.235450	2.416240	0.713546	0.537125	13.044800	135.724000	47.887100	59.739100	1.740650	1.996000	1.798900	0.722302	4.777510	2.034690	1.191910	2.135590	19.988400
expr::CASP8	8.297810	7.253450	6.360580	5.166270	5.224100	3.637530	5.847370	0.550255	0.487811	0.645387	0.518369	0.610399	0.585588	0.539257	0.583015	0.756560	0.631777	0.459670	1.289730	0.699343	7.152060	11.342100	8.810200	6.567600	6.023050	3.540110	7.345960	10.321400	11.040300	4.180810	3.743790	8.470440	3.616490	6.166610	1.503980	0.908082	3.325210	4.302160	3.072180	3.600920	3.542410	20.604800	15.815600	6.015920	0.595268	4.257440	4.711280	2.234240	2.559520	1.519710	2.382220	2.675970	5.333450	6.303130	6.498050	18.149800	69.694200	21.146300	29.762200	4.711760	5.512540	4.463520	3.423420	2.472630	6.500360	5.906480	6.950190	30.316700
